gene	annotation
LOC100570737	GO:0016021
LOC100570737	GO:0006511
LOC100570737	GO:0030145
LOC100570737	GO:0004803
LOC100570737	GO:0004177
LOC100570737	GO:0006355
LOC100570737	GO:0043565
LOC100570737	GO:0005524
LOC100570737	GO:0016887
LOC100570737	GO:0004843
LOC100570737	GO:0008235
LOC100570737	GO:0006313
LOC100570737	GO:0016579
LOC100570737	GO:0006812
LOC100570737	GO:0005737
LOC100570737	GO:0005634
LOC100169371	GO:0030170
LOC100169371	GO:0003676
LOC100169371	GO:0005622
LOC100169371	GO:0008270
LOC100166428	GO:0090502
LOC100166428	GO:0016075
LOC100166428	GO:0004525
LOC100166428	GO:0003723
LOC100166428	GO:0006396
LOC100166428	GO:0046872
LOC100166428	GO:0003677
LOC100166428	GO:0005524
LOC100166702	GO:0005886
LOC100166702	GO:0050909
LOC100166702	GO:0016021
LOC100169083	GO:0008168
LOC100169083	GO:0032259
LOC100159663	GO:0016787
LOC100573818	GO:0003676
LOC100573818	GO:0015074
LOC100163186	GO:0003676
LOC100163186	GO:0046983
LOC100163186	GO:0006511
LOC100163186	GO:0008270
LOC100165134	GO:0003676
LOC100165134	GO:0005634
LOC100165134	GO:0008270
LOC103308806	GO:0005488
LOC100160958	GO:0016740
LOC100159936	GO:0030097
LOC100159936	GO:0008270
LOC100159936	GO:0006355
LOC100159936	GO:0043565
LOC100159936	GO:0005634
LOC100159936	GO:0003700
LOC100159623	GO:0003676
LOC100159623	GO:0005524
LOC100159623	GO:0004386
LOC100168403	GO:0071139
LOC100168403	GO:0030915
LOC100168403	GO:0000724
LOC100162092	GO:0005662
LOC100162092	GO:0005515
LOC100162092	GO:0003684
LOC100162092	GO:0003840
LOC100162092	GO:0000784
LOC100162092	GO:0019985
LOC100162092	GO:0016605
LOC100162092	GO:0000724
LOC100162092	GO:0003697
LOC100162092	GO:0033683
LOC100162092	GO:0006284
LOC100162092	GO:0000723
LOC100162092	GO:0006749
LOC100162092	GO:0050794
LOC100162092	GO:0006298
LOC100162092	GO:0006260
LOC103309882	GO:0043229
LOC103309882	GO:0017111
LOC103309882	GO:0003677
LOC103309882	GO:0007018
LOC100568657	GO:0016021
LOC100165571	GO:0005509
LOC100158700	GO:0004396
LOC100158700	GO:0005623
LOC100158700	GO:0001678
LOC100158700	GO:0005536
LOC100158700	GO:0046835
LOC100158700	GO:0005524
LOC100158700	GO:0006096
LOC107884448	GO:0046872
LOC107884448	GO:0016020
LOC100159421	GO:0006357
LOC100159421	GO:0004364
LOC100159421	GO:0042302
LOC100159421	GO:0000978
LOC100159421	GO:0000982
LOC100159421	GO:0005634
LOC103310448	GO:0004518
LOC100162014	GO:0003993
LOC100162014	GO:0016311
LOC100162014	GO:0005794
LOC100162014	GO:0008565
LOC100162014	GO:0016192
LOC100162014	GO:0006886
LOC100162014	GO:0030131
LOC103310532	GO:0005488
LOC100158976	GO:0003676
LOC100158976	GO:0046872
LOC100159140	GO:0004018
LOC100159140	GO:0044208
LOC100159140	GO:0070626
LOC100159140	GO:0006189
LOC103310846	GO:0003676
LOC103310846	GO:0015074
LOC107885278	GO:0032508
LOC107885278	GO:0003678
LOC107885278	GO:0006281
LOC107885278	GO:0000723
LOC100570352	GO:0008270
LOC100569964	GO:0008233
LOC100569964	GO:0006631
LOC100569964	GO:0016020
LOC100167253	GO:0016021
LOC100167253	GO:0003779
LOC100167253	GO:0055085
LOC100167253	GO:0022857
LOC100169459	GO:0003676
LOC100572170	GO:0016021
LOC100572170	GO:0005328
LOC100572170	GO:0006836
LOC100572170	GO:0055085
LOC100168283	GO:0016180
LOC100168283	GO:0016021
LOC100168283	GO:0032039
LOC100570060	GO:0016021
LOC100570060	GO:0003723
LOC100164165	GO:0006470
LOC100164165	GO:0004721
LOC100164165	GO:0016021
LOC100164165	GO:0046872
LOC100160689	GO:0016021
LOC100160689	GO:0007155
LOC100160689	GO:0015171
LOC100160689	GO:0003333
LOC100160733	GO:0003676
LOC100160733	GO:0016491
LOC100160733	GO:0055114
LOC100160733	GO:0015074
LOC100569000	GO:0044763
LOC100569000	GO:0016310
LOC100569000	GO:0016740
LOC100571221	GO:0016021
LOC100163616	GO:0061615
LOC100163616	GO:0046872
LOC100163616	GO:0003872
LOC100163616	GO:0006508
LOC100163616	GO:0005524
LOC100163616	GO:0006002
LOC100163616	GO:0004190
LOC100163616	GO:0005737
LOC100163616	GO:0016020
LOC100168909	GO:0008601
LOC100168909	GO:0000159
LOC100168909	GO:0034047
LOC100168909	GO:0007165
LOC100161003	GO:0046872
LOC100573822	GO:0006366
LOC100162020	GO:0016021
LOC100162020	GO:0006629
LOC100166735	GO:0016021
LOC100166735	GO:0016491
LOC100166735	GO:0055114
LOC103307789	GO:0003723
LOC103307789	GO:0004000
LOC103307789	GO:0006396
LOC107882382	GO:0016311
LOC107882382	GO:0003993
LOC100165564	GO:0003676
LOC100164711	GO:0098869
LOC100164711	GO:0006979
LOC100164711	GO:0016757
LOC100164711	GO:0020037
LOC100164711	GO:0004601
LOC100164711	GO:0042600
LOC100164711	GO:0016020
LOC100164711	GO:0055114
LOC100571165	GO:0016021
LOC100571165	GO:0006511
LOC100571165	GO:0008270
LOC100571165	GO:0007275
LOC100571165	GO:0016874
LOC100571165	GO:0004842
LOC100571165	GO:0016567
LOC100571165	GO:0005634
LOC100163970	GO:0006633
LOC100163970	GO:0016740
LOC100163970	GO:0016021
LOC100161829	GO:0007268
LOC100161829	GO:0019992
LOC100161829	GO:0007155
LOC100161829	GO:0016021
LOC100161829	GO:0042246
LOC103307937	GO:0071704
LOC103307937	GO:0044238
LOC103307937	GO:0003824
LOC100158834	GO:0015074
LOC100158834	GO:0015078
LOC100158834	GO:0003676
LOC100158834	GO:0015986
LOC100158834	GO:0000276
LOC100160515	GO:0003676
LOC100160515	GO:0046983
LOC103307985	GO:0005515
LOC100161197	GO:0006396
LOC100161197	GO:0006479
LOC100161197	GO:0016593
LOC100161197	GO:0006355
LOC100161197	GO:0003677
LOC100161197	GO:0016570
LOC100161197	GO:0008168
LOC100571638	GO:0016787
LOC100574641	GO:0006904
LOC100169254	GO:0006313
LOC100169254	GO:0004803
LOC100165224	GO:0008270
LOC100168035	GO:0005634
LOC100168035	GO:0008270
LOC100169013	GO:0005525
LOC100169013	GO:0043170
LOC100169013	GO:0016020
LOC100169013	GO:0044238
LOC100169013	GO:0003924
LOC100162976	GO:0016021
LOC100162976	GO:0003824
LOC100165632	GO:0020037
LOC100165632	GO:0016021
LOC100165632	GO:0004601
LOC100165632	GO:0098869
LOC100165632	GO:0055114
LOC100165632	GO:0006979
LOC100165614	GO:0003779
LOC100166771	GO:0005622
LOC100166771	GO:0006508
LOC100166771	GO:0008236
LOC100166771	GO:0035556
LOC103308176	GO:0016021
LOC103308176	GO:0046872
LOC103308176	GO:0003676
LOC103308176	GO:0042302
LOC103308176	GO:0000166
LOC100163391	GO:0007165
LOC100164409	GO:0006355
LOC100164409	GO:0043565
LOC100164409	GO:0005634
LOC100572792	GO:0008270
LOC100572792	GO:0003676
LOC100166105	GO:0004129
LOC100166105	GO:0005751
LOC100166105	GO:1902600
LOC100166105	GO:0006123
LOC100162928	GO:0043044
LOC100162928	GO:0006355
LOC100162928	GO:0003677
LOC100162928	GO:0005524
LOC100162928	GO:0031491
LOC100162928	GO:0016887
LOC100162928	GO:0016589
Atpcl	GO:0005737
Atpcl	GO:0006085
Atpcl	GO:0006629
Atpcl	GO:0046872
Atpcl	GO:0006101
Atpcl	GO:0003878
Atpcl	GO:0005524
Atpcl	GO:0048037
Atpcl	GO:0016829
LOC100145824	GO:0006633
LOC100145824	GO:0016717
LOC100145824	GO:0005525
LOC100145824	GO:0000287
LOC100145824	GO:0016021
LOC100145824	GO:0055114
LOC100145824	GO:0003924
LOC103308264	GO:0098869
LOC103308264	GO:0006979
LOC103308264	GO:0020037
LOC103308264	GO:0004601
LOC103308264	GO:0016740
LOC103308264	GO:0016021
LOC103308264	GO:0042600
LOC103308264	GO:0055114
LOC103308284	GO:0003676
LOC103308284	GO:0046983
LOC107882782	GO:0016020
LOC100570120	GO:0006355
LOC100570120	GO:0043565
LOC100570120	GO:0005634
LOC100160989	GO:0005885
LOC100160989	GO:0034314
LOC100164262	GO:0016021
LOC100165213	GO:0016021
LOC100575130	GO:0003676
LOC100575130	GO:0008270
LOC100575130	GO:0015074
LOC103308411	GO:0016021
LOC100166856	GO:0003676
LOC100166856	GO:0005524
LOC100166856	GO:0004386
LOC107882895	GO:0016021
LOC107882895	GO:0032259
LOC107882895	GO:0005634
LOC107882895	GO:0003677
LOC107882895	GO:0008168
LOC107882907	GO:0003676
LOC100575510	GO:0044424
LOC100216490	GO:0008270
LOC100216490	GO:0044699
LOC100216490	GO:0044424
LOC100216490	GO:0050794
LOC100216490	GO:0003723
LOC100166748	GO:0016021
LOC100166748	GO:0003676
LOC100166748	GO:0008521
LOC100166748	GO:0005509
LOC100166748	GO:0015876
LOC100169351	GO:0016021
LOC100572569	GO:0003676
LOC100572569	GO:0046872
LOC107882960	GO:0003690
LOC107882960	GO:0000122
LOC107882960	GO:0001227
LOC107882960	GO:0005634
LOC100569778	GO:0032508
LOC100569778	GO:0003678
LOC100569778	GO:0006281
LOC100569778	GO:0000723
LOC100573861	GO:0003676
LOC100573861	GO:0046983
LOC100169267	GO:0046872
LOC100169267	GO:0005484
LOC100169267	GO:0005622
LOC100169267	GO:0061025
LOC100169267	GO:0016192
LOC100169267	GO:0006886
LOC100169267	GO:0016021
LOC107882158	GO:0006364
LOC107882158	GO:0008168
LOC100165621	GO:0006904
LOC100162769	GO:0005730
LOC100162769	GO:0003899
LOC100162769	GO:0006351
LOC100162769	GO:0003676
LOC100162769	GO:0008270
LOC100168416	GO:0006260
LOC100168416	GO:0003677
LOC100168416	GO:0005634
LOC103308616	GO:0005488
LOC103308616	GO:0043170
LOC103308616	GO:0044238
LOC100168233	GO:0042623
LOC100168233	GO:0006625
LOC100168233	GO:0005778
LOC100168233	GO:0005524
LOC100167434	GO:0006261
LOC100167434	GO:0003689
LOC100167434	GO:0005524
LOC100167434	GO:0005663
LOC100163276	GO:0004707
LOC100163276	GO:0016021
LOC100163276	GO:0005230
LOC100163276	GO:0005622
LOC100163276	GO:0005524
LOC100163276	GO:0034220
LOC100163276	GO:0000165
LOC100165001	GO:0003677
LOC100160488	GO:0030170
LOC100160488	GO:0016831
LOC100160488	GO:0006084
LOC100160488	GO:0008410
LOC100160488	GO:0019752
LOC100160488	GO:0005829
LOC100160488	GO:0005739
LOC100169602	GO:0046872
LOC100169602	GO:0003714
LOC100169602	GO:0045892
LOC100169602	GO:0003700
LOC100164844	GO:0015991
LOC100164844	GO:0000220
LOC100164844	GO:0015078
LOC100164844	GO:0016021
LOC100163433	GO:0004672
LOC100163433	GO:0006468
LOC100163433	GO:0005524
LOC100164188	GO:0006355
LOC100164188	GO:0007049
LOC100164188	GO:0017053
LOC100164188	GO:0016021
LOC100164188	GO:0005634
LOC100569004	GO:0005858
LOC100569004	GO:0003676
LOC100569004	GO:0016319
LOC100569004	GO:0042623
LOC100569004	GO:0005868
LOC100569004	GO:0007018
LOC100569004	GO:0046983
LOC100569004	GO:0045505
LOC100569004	GO:0048813
LOC100166022	GO:0003676
LOC100166022	GO:0000166
LOC100165879	GO:0016021
LOC100165879	GO:0005921
LOC100165879	GO:0006811
LOC100573654	GO:0003676
LOC100573654	GO:0046983
LOC100167902	GO:0006420
LOC100167902	GO:0005524
LOC100167902	GO:0004814
LOC100160968	GO:0008409
LOC100160968	GO:0090305
LOC100160968	GO:0005739
LOC100160968	GO:0006284
LOC100160968	GO:0043137
LOC100160968	GO:0017108
LOC100160968	GO:0003677
LOC100160968	GO:0000287
LOC100160968	GO:0005654
LOC100161504	GO:0016787
LOC100165755	GO:0030054
LOC100165755	GO:0017111
LOC100165755	GO:0016021
LOC100165755	GO:0005230
LOC100165755	GO:0045202
LOC100165755	GO:0034220
LOC100165755	GO:0005886
LOC100166409	GO:0016579
LOC100166409	GO:0005525
LOC100166409	GO:0015020
LOC100166409	GO:0006511
LOC100166409	GO:0006355
LOC100166409	GO:0046872
LOC100166409	GO:0045454
LOC100166409	GO:0006812
LOC100166409	GO:0007264
LOC100166409	GO:0004843
LOC100166409	GO:0016021
LOC100166409	GO:0016887
LOC100166409	GO:0005634
LOC100166409	GO:0005524
Apool	GO:0042407
Apool	GO:0061617
LOC100167550	GO:0006457
LOC100167550	GO:0016021
LOC100167550	GO:0005783
LOC100167550	GO:0051082
LOC100167550	GO:0005509
LOC100166919	GO:0006810
LOC100166919	GO:0070085
LOC100166919	GO:0043234
LOC100166919	GO:0016021
LOC100166919	GO:0008444
LOC100166919	GO:0044446
LOC100166919	GO:0008654
LOC100166919	GO:0005739
LOC100167648	GO:0020037
LOC100167648	GO:0016021
LOC100167648	GO:0004601
LOC100167648	GO:0098869
LOC100167648	GO:0055114
LOC100167648	GO:0006979
LOC100160112	GO:0015031
LOC100160112	GO:0005737
LOC100160112	GO:0006914
LOC100160112	GO:0006508
LOC100160112	GO:0004197
LOC100571733	GO:0000338
LOC100571733	GO:0031982
LOC100571733	GO:0016740
LOC100571733	GO:0044444
LOC100571733	GO:0044428
LOC100571733	GO:0016020
LOC100167455	GO:0003723
LOC100572473	GO:0003676
LOC100575593	GO:0016021
LOC100575593	GO:0007166
LOC100575593	GO:0007186
LOC100575593	GO:0004930
LOC100159841	GO:0008152
LOC100159841	GO:0003824
ACYPI40782	GO:0005488
ACYPI40782	GO:0016021
LOC100165913	GO:0003723
ACYPI38901	GO:0006260
ACYPI38901	GO:0003697
ACYPI38901	GO:0005739
LOC100168074	GO:0050660
LOC100168074	GO:0016021
LOC100168074	GO:0046983
LOC100168074	GO:0016614
LOC100168074	GO:0055114
LOC100168023	GO:0008270
LOC100571272	GO:0055085
LOC100571272	GO:0016021
LOC100571272	GO:0003712
